min,cur_temp,target,error,output_pct,raw_out,ssr_state,mode,elapsed_s
0,52.0,52.0,0.0,0.0,0,0,ramp0%,1
0,52.1,52.1,0.0,0.0,0,0,ramp0%,3
0,52.0,52.3,0.3,0.0,0,0,ramp0%,5
0,52.1,52.4,0.3,0.0,0,0,ramp0%,7
0,52.1,52.5,0.4,0.0,0,0,ramp0%,9
0,52.3,52.6,0.3,0.0,0,0,ramp0%,11
0,52.1,52.7,0.6,0.0,0,0,ramp0%,13
0,51.9,52.8,0.9,0.0,0,0,ramp0%,15
0,52.1,52.9,0.8,0.0,0,0,ramp0%,17
0,52.1,53.0,0.9,0.0,0,0,ramp1%,19
0,52.0,53.1,1.1,0.0,0,0,ramp1%,21
0,52.1,53.2,1.1,0.0,0,0,ramp1%,23
0,52.1,53.4,1.3,0.0,0,0,ramp1%,25
0,52.1,53.5,1.4,0.0,0,0,ramp1%,27
0,52.1,53.6,1.5,0.0,0,0,ramp1%,29
0,52.1,53.7,1.6,0.0,0,0,ramp1%,31
0,52.1,53.8,1.7,0.0,0,0,ramp1%,33
0,52.0,53.9,1.9,0.0,0,0,ramp1%,35
0,52.1,54.0,1.9,0.0,0,0,ramp2%,37
0,52.0,54.1,2.1,0.0,0,0,ramp2%,39
0,52.0,54.2,2.2,0.0,0,0,ramp2%,41
0,52.1,54.4,2.3,0.0,0,0,ramp2%,43
0,52.1,54.5,2.4,0.0,0,0,ramp2%,45
0,52.1,54.6,2.5,0.0,0,0,ramp2%,47
0,52.3,54.7,2.4,0.0,0,0,ramp2%,49
0,52.0,54.8,2.8,0.0,0,0,ramp2%,51
0,52.2,54.9,2.7,0.0,0,0,ramp2%,53
0,52.1,55.0,2.9,0.0,0,0,ramp3%,55
0,52.2,55.1,2.9,0.0,0,0,ramp3%,57
0,52.1,55.2,3.1,0.0,0,0,ramp3%,59
1,52.1,55.4,3.3,0.0,0,0,ramp3%,61
1,52.1,55.5,3.4,0.0,0,0,ramp3%,63
1,52.0,55.6,3.6,0.0,0,0,ramp3%,65
1,52.0,55.7,3.7,0.0,0,0,ramp3%,67
1,52.1,55.8,3.7,0.0,0,0,ramp3%,69
1,52.1,55.9,3.8,0.0,0,0,ramp3%,71
1,52.2,56.0,3.8,0.0,0,0,ramp4%,73
1,52.1,56.1,4.0,0.0,0,0,ramp4%,75
1,52.0,56.2,4.2,0.0,0,0,ramp4%,77
1,52.1,56.3,4.2,0.0,0,0,ramp4%,79
1,52.1,56.5,4.4,0.0,0,0,ramp4%,81
1,52.0,56.6,4.6,0.0,0,0,ramp4%,83
1,52.1,56.7,4.6,0.0,0,0,ramp4%,85
1,52.1,56.8,4.7,0.0,0,0,ramp4%,87
1,52.1,56.9,4.8,0.0,0,0,ramp5%,90
1,52.0,57.0,5.0,0.0,0,0,ramp5%,92
1,52.0,57.1,5.1,0.0,0,0,ramp5%,94
1,52.1,57.2,5.1,0.0,0,0,ramp5%,96
1,52.0,57.3,5.3,0.0,0,0,ramp5%,98
1,52.1,57.5,5.4,0.0,0,0,ramp5%,100
1,51.9,57.6,5.7,0.0,0,0,ramp5%,102
1,51.8,57.7,5.9,0.0,0,0,ramp5%,104
1,51.8,57.8,6.0,0.0,0,0,ramp5%,106
1,51.8,57.9,6.1,0.0,0,0,ramp6%,108
1,51.8,58.0,6.2,0.0,0,0,ramp6%,110
1,51.8,58.1,6.3,0.0,0,0,ramp6%,112
1,51.6,58.2,6.6,0.0,0,0,ramp6%,114
1,51.5,58.3,6.8,0.0,0,0,ramp6%,116
1,51.7,58.5,6.8,0.0,0,0,ramp6%,118
2,51.7,58.6,6.9,0.0,0,0,ramp6%,120
2,51.5,58.7,7.2,0.0,0,0,ramp6%,122
2,51.7,58.8,7.1,0.0,0,0,ramp6%,124
2,51.6,58.9,7.3,0.0,0,0,ramp7%,126
2,51.5,59.0,7.5,0.0,0,0,ramp7%,128
2,51.4,59.1,7.7,0.0,0,0,ramp7%,130
2,51.3,59.2,7.9,0.0,0,0,ramp7%,132
2,51.2,59.3,8.1,0.0,0,0,ramp7%,134
2,51.2,59.4,8.2,0.0,0,0,ramp7%,136
2,51.2,59.6,8.4,0.0,0,0,ramp7%,138
2,51.3,59.7,8.4,0.0,0,0,ramp7%,140
2,51.2,59.8,8.6,0.0,0,0,ramp7%,142
2,51.0,59.9,8.9,0.0,0,0,ramp8%,144
2,51.2,60.0,8.8,0.0,0,0,ramp8%,146
2,50.9,60.1,9.2,0.0,0,0,ramp8%,148
2,51.0,60.2,9.2,0.0,0,0,ramp8%,150
2,50.8,60.3,9.5,0.0,0,0,ramp8%,152
2,50.8,60.4,9.6,0.0,0,0,ramp8%,154
2,50.7,60.6,9.9,0.0,0,0,ramp8%,156
2,50.7,60.7,10.0,0.0,0,0,ramp8%,158
2,50.7,60.8,10.1,0.0,0,0,ramp8%,160
2,50.7,60.9,10.2,0.0,0,0,ramp9%,162
2,50.6,61.0,10.4,0.0,0,0,ramp9%,164
2,50.6,61.1,10.5,0.0,0,0,ramp9%,166
2,50.3,61.2,10.9,0.0,0,0,ramp9%,168
2,50.5,61.3,10.8,0.0,0,0,ramp9%,170
2,50.4,61.4,11.0,0.0,0,0,ramp9%,172
2,50.3,61.5,11.2,0.0,0,0,ramp9%,174
2,50.3,61.7,11.4,0.0,0,0,ramp9%,176
2,50.2,61.8,11.6,0.0,0,0,ramp9%,178
3,50.1,61.9,11.8,0.0,0,0,ramp10%,180
3,50.0,62.0,12.0,0.0,0,0,ramp10%,182
3,50.0,62.1,12.1,0.0,0,0,ramp10%,184
3,50.0,62.2,12.2,0.0,0,0,ramp10%,186
3,49.8,62.3,12.5,0.0,0,0,ramp10%,188
3,50.0,62.4,12.4,0.0,0,0,ramp10%,190
3,49.9,62.5,12.6,0.0,0,0,ramp10%,192
3,49.8,62.7,12.9,0.0,0,0,ramp10%,194
3,49.7,62.8,13.1,0.0,0,0,ramp10%,196
3,49.7,62.9,13.2,0.0,0,0,ramp11%,198
3,49.7,63.0,13.3,0.0,0,0,ramp11%,200
3,49.5,63.1,13.6,0.2,2,0,ramp11%,202
3,49.5,63.2,13.7,0.4,4,0,ramp11%,204
3,49.4,63.3,13.9,0.7,7,0,ramp11%,206
3,49.4,63.4,14.0,0.9,9,0,ramp11%,208
3,49.2,63.5,14.3,1.3,13,0,ramp11%,210
3,49.2,63.7,14.5,1.5,15,0,ramp11%,212
3,49.2,63.8,14.6,1.7,17,0,ramp12%,214
3,49.1,63.9,14.8,2.0,20,0,ramp12%,216
3,49.0,64.0,15.0,2.3,23,0,ramp12%,218
3,49.0,64.1,15.1,2.6,26,0,ramp12%,220
3,49.0,64.2,15.2,2.8,28,0,ramp12%,222
3,48.8,64.3,15.5,3.2,32,0,ramp12%,224
3,48.8,64.4,15.6,3.4,34,0,ramp12%,226
3,48.6,64.5,15.9,3.8,38,0,ramp12%,228
3,48.5,64.6,16.1,4.1,41,0,ramp12%,230
3,48.4,64.8,16.4,4.4,45,0,ramp13%,232
3,48.5,64.9,16.4,4.6,46,0,ramp13%,234
3,48.3,65.0,16.7,5.0,51,0,ramp13%,236
3,48.3,65.1,16.8,5.2,53,0,ramp13%,238
4,48.3,65.2,16.9,5.5,56,0,ramp13%,240
4,48.2,65.3,17.1,5.9,60,0,ramp13%,242
4,48.2,65.4,17.2,6.1,62,0,ramp13%,244
4,48.2,65.5,17.3,6.4,65,0,ramp13%,246
4,48.1,65.6,17.5,6.8,69,0,ramp13%,248
4,48.0,65.8,17.8,7.1,72,0,ramp14%,250
4,47.9,65.9,18.0,7.4,76,0,ramp14%,252
4,47.9,66.0,18.1,7.7,78,0,ramp14%,254
4,47.8,66.1,18.3,8.1,82,0,ramp14%,256
4,47.8,66.2,18.4,8.3,85,0,ramp14%,258
4,47.7,66.3,18.6,8.7,89,0,ramp14%,260
4,47.8,66.4,18.6,8.9,91,0,ramp14%,262
4,47.6,66.5,18.9,9.4,96,0,ramp14%,265
4,47.5,66.6,19.1,9.7,99,0,ramp14%,267
4,47.5,66.8,19.3,10.0,102,0,ramp15%,269
4,47.5,66.9,19.4,10.3,105,0,ramp15%,271
4,47.4,67.0,19.6,10.7,109,0,ramp15%,273
4,47.4,67.1,19.7,11.0,112,0,ramp15%,275
4,47.3,67.2,19.9,11.4,116,0,ramp15%,277
4,47.3,67.3,20.0,11.7,119,0,ramp15%,279
4,47.3,67.4,20.1,12.0,122,0,ramp15%,281
4,47.2,67.5,20.3,12.4,126,0,ramp15%,283
4,47.1,67.6,20.5,12.8,130,0,ramp15%,285
4,47.2,67.7,20.5,13.0,133,0,ramp16%,287
4,47.0,67.9,20.9,13.5,138,0,ramp16%,289
4,47.1,68.0,20.9,13.7,140,0,ramp16%,291
4,46.9,68.1,21.2,14.2,145,0,ramp16%,293
4,47.0,68.2,21.2,14.4,147,0,ramp16%,295
4,46.8,68.3,21.5,15.0,152,0,ramp16%,297
4,46.8,68.4,21.6,15.2,155,0,ramp16%,299
5,46.8,68.5,21.7,15.6,159,0,ramp16%,301
5,46.7,68.6,21.9,16.0,163,0,ramp16%,303
5,46.7,68.7,22.0,16.3,167,0,ramp17%,305
5,46.8,68.9,22.1,16.6,170,0,ramp17%,307
5,46.5,69.0,22.5,17.2,175,0,ramp17%,309
5,46.5,69.1,22.6,17.5,178,0,ramp17%,311
5,46.7,69.2,22.5,17.7,181,0,ramp17%,313
5,46.4,69.3,22.9,18.3,187,0,ramp17%,315
5,46.5,69.4,22.9,18.5,189,0,ramp17%,317
5,46.4,69.5,23.1,19.0,194,0,ramp17%,319
5,46.3,69.6,23.3,19.4,198,0,ramp17%,321
5,46.2,69.7,23.5,19.8,202,0,ramp18%,323
5,46.2,69.9,23.7,20.2,206,0,ramp18%,325
5,46.0,70.0,24.0,20.7,211,0,ramp18%,327
5,46.0,70.1,24.1,21.0,215,0,ramp18%,329
5,46.0,70.2,24.2,21.4,219,0,ramp18%,331
5,46.0,70.3,24.3,21.8,223,0,ramp18%,333
5,46.0,70.4,24.4,22.2,227,0,ramp18%,335
5,45.8,70.5,24.7,22.7,232,0,ramp18%,337
5,45.8,70.6,24.8,23.1,235,0,ramp19%,339
5,45.8,70.7,24.9,23.5,240,0,ramp19%,341
5,45.9,70.8,24.9,23.8,243,0,ramp19%,343
5,46.0,71.0,25.0,24.1,246,0,ramp19%,345
5,45.7,71.1,25.4,24.7,253,0,ramp19%,347
5,45.6,71.2,25.6,25.1,257,1,ramp19%,349
5,45.7,71.3,25.6,25.5,260,1,ramp19%,351
5,45.7,71.4,25.7,25.9,265,1,ramp19%,353
5,45.6,71.5,25.9,26.4,269,1,ramp19%,355
5,45.5,71.6,26.1,26.8,274,1,ramp20%,357
5,45.4,71.7,26.3,27.3,279,1,ramp20%,359
6,45.5,71.8,26.3,27.6,282,1,ramp20%,361
6,45.4,72.0,26.6,28.1,287,1,ramp20%,363
6,45.3,72.1,26.8,28.6,292,1,ramp20%,365
6,45.3,72.2,26.9,29.0,296,1,ramp20%,367
6,45.2,72.3,27.1,29.5,301,1,ramp20%,369
6,45.2,72.4,27.2,29.9,305,1,ramp20%,371
