>>> %Run -c $EDITOR_CONTENT

MPY: soft reboot
Boot OK
WiFi connecting...
✅ WiFi IP: 192.168.1.153
connectat cu succes 192.168.1.153
💾 LOADED config.json: R | offset=-26.5°C
🔥 MAX31856 PRO - R | Offset -26.5°C
✅ READY | config.json OK pentru WebUI
✅ Sensor R-type: {'offset': -26.5, 'raw': 405.5, 'temp': 379.0, 'config': {'offset': -26.5, 'type_name': 'R', 'status': 'saved', 'type_code': 5}, 'cj': 27.8, 'delta': 351.2, 'type': 'R', 'type_code': 5}
🔗 Accesează WebUI la: http://192.168.1.153
✅ v12: FIX1+2+3+4+5 - HOLD LOOP FIXED + USER SELECT!
══════════════════════════════════════════════════════════════════════════════════════════
🔍 Tcurentă=379.1°C

📋 ALEGE SEGMENTUL DE START (1-13):
ENTER S# (ex: 3, 4, 5): 6

✅ START S6: 328→750°C
   Ramp: 2.5°C/min | Hold: 0min


MIN | S# | Tcur  | Ttgt | ERR  | RATE | ON(s)| DUTY%| SSR | MODE  | BOOST | SEG_TIME
══════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════
 3m | S 6 | 373.4 | 379.1 | +5.7 |  0.00 |  3.9 |  38.9% |  ON | ramp  | +4.4% |   0.0m
 3m | S 6 | 372.7 | 379.5 | +6.8 | -4.20 |  4.7 |  47.3% |  ON | ramp  | +4.4% |   0.2m
 3m | S 6 | 372.0 | 380.0 | +8.0 | -4.00 |  4.7 |  46.9% |  ON | ramp  | +4.4% |   0.4m
 3m | S 6 | 371.3 | 380.4 | +9.1 | -4.06 |  4.7 |  47.0% |  ON | ramp  | +4.4% |   0.5m
 3m | S 6 | 370.6 | 380.8 | +10.2 | -4.10 |  4.7 |  47.1% |  ON | ramp  | +4.4% |   0.7m
 4m | S 6 | 370.0 | 381.2 | +11.2 | -3.95 |  4.7 |  46.8% |  ON | ramp  | +4.4% |   0.8m
 4m | S 6 | 369.2 | 381.6 | +12.4 | -4.20 |  4.7 |  47.3% |  ON | ramp  | +4.4% |   1.0m
 4m | S 6 | 368.6 | 382.1 | +13.5 | -4.05 |  4.7 |  47.0% |  ON | ramp  | +4.4% |   1.2m
 4m | S 6 | 368.0 | 382.5 | +14.5 | -3.90 |  4.7 |  46.7% |  ON | ramp  | +4.4% |   1.4m
 4m | S 6 | 367.7 | 382.9 | +15.2 | -3.45 |  4.6 |  45.8% |  ON | ramp  | +4.4% |   1.5m
 4m | S 6 | 367.5 | 383.3 | +15.8 | -2.55 |  4.4 |  44.0% |  ON | ramp  | +4.4% |   1.7m
 5m | S 6 | 367.5 | 383.7 | +16.2 | -1.65 |  4.2 |  42.2% |  ON | ramp  | +4.4% |   1.8m
 5m | S 6 | 367.5 | 384.1 | +16.6 | -0.75 |  4.0 |  40.4% |  ON | ramp  | +4.4% |   2.0m
 5m | S 6 | 367.7 | 384.6 | +16.9 |  0.00 |  3.9 |  38.9% |  ON | ramp  | +4.4% |   2.2m
 5m | S 6 | 367.8 | 385.0 | +17.2 |  0.45 |  3.8 |  38.0% |  ON | ramp  | +4.4% |   2.4m
 5m | S 6 | 368.2 | 385.4 | +17.2 |  1.05 |  3.7 |  36.8% |  ON | ramp  | +4.4% |   2.5m
 5m | S 6 | 368.4 | 385.8 | +17.4 |  1.35 |  3.6 |  36.2% |  ON | ramp  | +4.4% |   2.7m
