min,elapsed_s,cur_temp,target,error,rate_cpm,on_time,off_time,cycle_time,ssr_state,mode,predicted_peak
0,18,220.1,220.0,-0.1,0.00,0.00,10.00,10.00,0,startup,220.1
0,29,220.1,220.1,0.0,0.00,0.00,10.00,10.00,0,startup,220.1
0,39,220.1,220.1,0.0,0.00,0.00,10.00,10.00,0,hold,220.1
0,49,220.1,220.1,0.0,0.00,0.00,10.00,10.00,0,hold,220.1
0,59,220.0,220.1,0.1,-0.15,0.00,10.00,10.00,0,hold,220.0
1,69,220.1,220.1,0.0,0.00,0.00,10.00,10.00,0,hold,220.1
1,79,220.0,220.1,0.1,-0.15,0.00,10.00,10.00,0,hold,220.0
1,89,220.0,220.1,0.1,-0.15,0.00,10.00,10.00,0,hold,220.0
1,99,219.9,220.1,0.2,-0.15,0.00,10.00,10.00,0,hold,219.9
1,109,219.9,220.1,0.2,-0.30,0.00,10.00,10.00,0,hold,219.9
1,119,220.0,220.1,0.1,0.00,0.00,10.00,10.00,0,hold,220.0
2,129,219.9,220.1,0.2,-0.15,0.00,10.00,10.00,0,hold,219.9
2,139,219.8,220.1,0.3,-0.15,0.00,10.00,10.00,0,hold,219.8
2,149,219.7,220.1,0.4,-0.30,0.00,10.00,10.00,0,hold,219.7
2,159,219.7,220.1,0.4,-0.45,0.00,10.00,10.00,0,hold,219.7
2,169,219.7,220.1,0.4,-0.30,0.00,10.00,10.00,0,hold,219.7
2,179,219.6,220.1,0.5,-0.30,0.00,10.00,10.00,0,hold,219.6
3,189,219.6,220.1,0.5,-0.15,0.00,10.00,10.00,0,hold,219.6
3,199,219.6,220.1,0.5,-0.15,0.00,10.00,10.00,0,hold,219.6
3,209,219.6,220.1,0.5,-0.15,0.00,10.00,10.00,0,hold,219.6
3,219,219.5,220.1,0.6,-0.15,0.00,10.00,10.00,0,hold,219.5
3,229,219.3,220.1,0.8,-0.45,0.00,10.00,10.00,0,hold,219.3
3,239,219.4,220.1,0.7,-0.30,0.00,10.00,10.00,0,hold,219.4
4,249,219.4,220.1,0.7,-0.30,0.00,10.00,10.00,0,hold,219.4
4,259,219.3,220.1,0.8,-0.30,0.00,10.00,10.00,0,hold,219.3
4,269,219.2,220.1,0.9,-0.15,0.00,10.00,10.00,0,hold,219.2
4,280,219.3,220.1,0.8,-0.15,0.00,10.00,10.00,0,hold,219.3
4,290,219.1,220.1,1.0,-0.44,0.00,10.00,10.00,0,hold,219.1
5,300,219.0,220.1,1.1,-0.44,0.00,10.00,10.00,0,hold,219.0
5,310,219.0,220.1,1.1,-0.29,0.00,10.00,10.00,0,hold,219.0
5,320,219.0,220.1,1.1,-0.45,0.00,10.00,10.00,0,hold,219.0
5,330,218.9,220.1,1.2,-0.30,0.00,10.00,10.00,0,hold,218.9
5,340,218.8,220.1,1.3,-0.30,0.00,10.00,10.00,0,hold,218.8
5,350,218.8,220.1,1.3,-0.30,0.00,10.00,10.00,0,hold,218.8
6,360,218.6,220.1,1.5,-0.60,0.00,10.00,10.00,0,hold,218.6
6,370,218.6,220.1,1.5,-0.45,0.00,10.00,10.00,0,hold,218.6
6,380,218.5,220.1,1.6,-0.45,2.50,7.50,10.00,1,hold,218.9
6,390,218.5,220.1,1.6,-0.45,2.50,7.50,10.00,1,hold,218.9
6,400,218.4,220.1,1.7,-0.30,2.50,7.50,10.00,1,hold,218.8
6,410,218.4,220.1,1.7,-0.30,2.50,7.50,10.00,1,hold,218.8
7,420,218.3,220.1,1.8,-0.30,2.50,7.50,10.00,1,hold,218.7
7,432,218.3,220.1,1.8,-0.29,2.50,7.50,10.00,1,hold,218.7
7,442,218.2,220.1,1.9,-0.29,2.50,7.50,10.00,1,hold,218.6
7,452,218.1,220.1,2.0,-0.43,2.50,7.50,10.00,1,hold,218.5
7,462,218.0,220.1,2.1,-0.43,2.50,7.50,10.00,1,hold,218.4
7,472,218.1,220.1,2.0,-0.30,2.50,7.50,10.00,1,hold,218.5
8,482,218.0,220.1,2.1,-0.30,2.50,7.50,10.00,1,hold,218.4
8,492,217.9,220.1,2.2,-0.30,2.50,7.50,10.00,1,hold,218.3
8,502,217.9,220.1,2.2,-0.15,2.50,7.50,10.00,1,hold,218.3
8,512,217.7,220.1,2.4,-0.60,2.50,7.50,10.00,1,hold,218.1
8,522,217.9,220.1,2.2,-0.15,2.50,7.50,10.00,1,hold,218.3
8,532,217.7,220.1,2.4,-0.30,2.50,7.50,10.00,1,hold,218.1
9,542,217.6,220.1,2.5,-0.45,2.50,7.50,10.00,1,hold,218.0
9,552,217.6,220.1,2.5,-0.15,2.50,7.50,10.00,1,hold,218.0
9,563,217.6,220.1,2.5,-0.44,2.50,7.50,10.00,1,hold,218.0
9,573,217.6,220.1,2.5,-0.15,2.50,7.50,10.00,1,hold,218.0
9,583,217.6,220.1,2.5,0.00,2.50,7.50,10.00,1,hold,218.0
9,593,217.6,220.1,2.5,0.00,2.50,7.50,10.00,1,hold,218.0
10,603,217.5,220.1,2.6,-0.15,2.50,7.50,10.00,1,hold,217.9
10,613,217.5,220.1,2.6,-0.15,2.50,7.50,10.00,1,hold,217.9
10,623,217.5,220.1,2.6,-0.15,2.50,7.50,10.00,1,hold,217.9
10,633,217.4,220.1,2.7,-0.30,2.50,7.50,10.00,1,hold,217.8
10,643,217.4,220.1,2.7,-0.15,2.50,7.50,10.00,1,hold,217.8
10,653,217.5,220.1,2.6,0.00,2.50,7.50,10.00,1,hold,217.9
11,663,217.5,220.1,2.6,0.00,2.50,7.50,10.00,1,hold,217.9
11,673,217.5,220.1,2.6,0.15,2.50,7.50,10.00,1,hold,217.9
11,683,217.5,220.1,2.6,0.15,2.50,7.50,10.00,1,hold,217.9
11,693,217.6,220.1,2.5,0.15,2.50,7.50,10.00,1,hold,218.0
11,703,217.5,220.1,2.6,0.00,2.50,7.50,10.00,1,hold,217.9
11,713,217.6,220.1,2.5,0.15,2.50,7.50,10.00,1,hold,218.0
12,723,217.7,220.1,2.4,0.30,2.50,7.50,10.00,1,hold,218.1
12,733,217.7,220.1,2.4,0.15,2.50,7.50,10.00,1,hold,218.1
12,743,217.8,220.1,2.3,0.45,2.50,7.50,10.00,1,hold,218.2
12,754,217.9,220.1,2.2,0.44,2.50,7.50,10.00,1,hold,218.3
12,764,218.0,220.1,2.1,0.44,2.50,7.50,10.00,1,hold,218.4
12,774,218.2,220.1,1.9,0.73,2.50,7.50,10.00,1,hold,218.6
13,784,218.2,220.1,1.9,0.59,2.50,7.50,10.00,1,hold,218.6
13,794,218.3,220.1,1.8,0.60,2.50,7.50,10.00,1,hold,218.7
13,804,218.4,220.1,1.7,0.60,2.50,7.50,10.00,1,hold,218.8
13,814,218.6,220.1,1.5,0.60,0.00,10.00,10.00,0,hold,218.6
13,824,218.7,220.1,1.4,0.75,0.00,10.00,10.00,0,hold,218.7
13,834,218.7,220.1,1.4,0.60,0.00,10.00,10.00,0,hold,218.7
14,844,218.8,220.1,1.3,0.60,0.00,10.00,10.00,0,hold,218.8
14,856,218.9,220.1,1.2,0.43,0.00,10.00,10.00,0,hold,218.9
14,866,218.9,220.1,1.2,0.29,0.00,10.00,10.00,0,hold,218.9
14,876,219.2,220.1,0.9,0.71,0.00,10.00,10.00,0,hold,219.2
14,886,219.1,220.1,1.0,0.43,0.00,10.00,10.00,0,hold,219.1
14,896,219.4,220.1,0.7,0.75,0.00,10.00,10.00,0,hold,219.4
15,906,219.4,220.1,0.7,0.75,0.00,10.00,10.00,0,hold,219.4
15,916,219.6,220.1,0.5,0.60,0.00,10.00,10.00,0,hold,219.6
